EmpID,Age,AgeGroup,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,Attrition
RM297,18,18-25,Male,"Research & Development","Laboratory Technician",1420,0,3,3,3,No,Yes
RM302,18,18-25,Female,Sales,"Sales Representative",1200,0,3,3,3,No,No
RM458,18,18-25,Male,Sales,"Sales Representative",1878,0,2,3,3,Yes,Yes
RM728,18,18-25,Male,"Research & Development","Research Scientist",1051,0,4,3,3,No,No
RM829,18,18-25,Male,"Research & Development","Laboratory Technician",1904,0,3,3,3,No,Yes
RM973,18,18-25,Female,"Research & Development","Laboratory Technician",1611,0,4,4,3,No,No
RM1154,18,18-25,Female,Sales,"Sales Representative",1569,0,4,4,3,Yes,Yes
RM1312,18,18-25,Female,"Research & Development","Research Scientist",1514,0,3,1,3,No,No
RM128,19,18-25,Male,Sales,"Sales Representative",1675,0,3,2,3,Yes,Yes
RM150,19,18-25,Female,"Research & Development","Laboratory Technician",1483,1,2,3,3,No,No
RM172,19,18-25,Female,Sales,"Sales Representative",2325,0,1,4,4,No,Yes
RM178,19,18-25,Male,"Research & Development","Laboratory Technician",1102,1,4,2,4,No,Yes
RM423,19,18-25,Male,"Human Resources","Human Resources",2564,1,4,4,3,No,Yes
RM689,19,18-25,Male,Sales,"Sales Representative",2121,1,2,4,3,Yes,Yes
RM854,19,18-25,Male,"Research & Development","Research Scientist",2552,1,1,3,4,No,No
RM893,19,18-25,Female,"Research & Development","Research Scientist",1859,1,2,4,4,Yes,Yes
RM910,19,18-25,Female,"Research & Development","Research Scientist",2994,1,4,3,3,Yes,No
RM103,20,18-25,Female,"Research & Development","Laboratory Technician",2926,1,4,3,3,Yes,Yes
RM488,20,18-25,Female,"Research & Development","Research Scientist",2836,1,2,4,3,No,No
RM514,20,18-25,Male,"Research & Development","Research Scientist",1009,1,3,3,3,Yes,Yes
RM663,20,18-25,Female,Sales,"Sales Representative",2044,2,3,2,3,No,Yes
RM690,20,18-25,Male,"Research & Development","Laboratory Technician",2973,1,1,3,3,No,Yes
RM732,20,18-25,Female,"Research & Development","Research Scientist",2600,1,1,3,3,Yes,Yes
RM777,20,18-25,Female,Sales,"Sales Representative",2323,2,4,3,3,Yes,Yes
RM857,20,18-25,Male,"Research & Development","Laboratory Technician",3033,2,3,2,3,No,No
RM877,20,18-25,Male,Sales,"Sales Representative",2678,2,4,3,3,No,No
RM1179,20,18-25,Female,Sales,"Sales Representative",2783,2,3,3,3,No,No
RM1198,20,18-25,Male,Sales,"Sales Representative",2728,2,1,3,3,No,No
RM275,21,18-25,Male,"Research & Development","Research Scientist",3230,3,3,4,3,No,No
RM358,21,18-25,Female,Sales,"Sales Representative",2174,3,2,3,3,Yes,Yes
RM371,21,18-25,Female,Sales,"Sales Representative",2716,1,2,3,3,No,Yes
RM497,21,18-25,Male,Sales,"Sales Representative",3447,3,3,3,3,No,No
RM664,21,18-25,Female,"Research & Development","Research Scientist",2693,1,4,2,3,No,Yes
RM778,21,18-25,Female,"Research & Development","Laboratory Technician",1416,1,1,2,3,No,Yes
RM816,21,18-25,Female,"Research & Development","Research Scientist",2070,2,2,4,3,Yes,No
RM916,21,18-25,Female,"Research & Development","Laboratory Technician",2625,2,3,1,4,No,Yes
RM1153,21,18-25,Male,"Research & Development","Research Scientist",3117,2,4,3,3,No,No
RM1272,21,18-25,Male,Sales,"Sales Representative",2679,1,2,3,3,No,Yes
RM1437,21,18-25,Male,Sales,"Sales Representative",2380,2,1,3,3,Yes,No
RM018,22,18-25,Male,"Research & Development","Laboratory Technician",2935,1,4,2,3,Yes,No
RM110,22,18-25,Female,"Research & Development","Laboratory Technician",2871,0,4,3,3,No,No
RM129,22,18-25,Male,"Research & Development","Laboratory Technician",2523,2,4,3,3,No,No
RM161,22,18-25,Male,"Research & Development","Research Scientist",2323,2,4,3,4,No,No
RM384,22,18-25,Female,"Research & Development","Research Scientist",2244,2,2,3,3,No,No
RM444,22,18-25,Male,"Research & Development","Laboratory Technician",3894,2,3,3,3,No,Yes
RM499,22,18-25,Male,"Research & Development","Research Scientist",2773,2,3,3,4,No,No
RM631,22,18-25,Male,"Research & Development","Manufacturing Director",4775,2,4,1,4,No,No
RM667,22,18-25,Female,"Research & Development","Manufacturing Director",4171,3,3,4,3,Yes,Yes
RM735,22,18-25,Male,"Research & Development","Laboratory Technician",2451,4,1,2,3,No,No
RM861,22,18-25,Male,"Research & Development","Research Scientist",2853,0,4,3,3,Yes,Yes
RM1138,22,18-25,Female,"Research & Development","Research Scientist",2814,4,3,2,3,Yes,No
RM1274,22,18-25,Female,"Research & Development","Laboratory Technician",2398,1,1,3,3,Yes,Yes
RM1340,22,18-25,Male,"Research & Development","Research Scientist",2472,1,2,3,4,Yes,Yes
RM1424,22,18-25,Male,"Research & Development","Research Scientist",3375,3,3,4,3,No,No
RM087,23,18-25,Male,Sales,"Sales Representative",2322,0,1,3,3,No,No
RM346,23,18-25,Male,"Research & Development","Research Scientist",2904,4,4,2,3,No,No
RM517,23,18-25,Male,"Research & Development","Research Scientist",2819,3,1,4,3,No,No
RM551,23,18-25,Male,"Research & Development","Laboratory Technician",2500,4,1,4,3,No,No
RM566,23,18-25,Male,"Research & Development","Research Scientist",3505,2,3,3,3,No,No
RM586,23,18-25,Male,"Research & Development","Laboratory Technician",1601,0,1,3,4,Yes,Yes
RM911,23,18-25,Male,"Research & Development","Research Scientist",1223,1,3,3,4,No,No
RM1083,23,18-25,Male,"Research & Development","Laboratory Technician",2272,4,3,3,3,No,No
RM1128,23,18-25,Male,"Research & Development","Research Scientist",2073,2,3,3,3,No,No
RM1202,23,18-25,Male,"Research & Development","Laboratory Technician",3989,5,3,3,3,Yes,Yes
RM1214,23,18-25,Male,Sales,"Sales Representative",2275,3,4,3,4,Yes,Yes
RM1239,23,18-25,Female,"Research & Development","Laboratory Technician",3295,3,2,1,3,No,No
RM1409,23,18-25,Male,"Research & Development","Laboratory Technician",2647,5,4,4,3,No,No
RM1439,23,18-25,Male,Sales,"Sales Representative",1790,1,1,2,3,No,Yes
RM021,24,18-25,Female,"Research & Development","Manufacturing Director",4011,4,3,2,3,No,No
RM035,24,18-25,Male,"Research & Development","Research Scientist",2293,2,4,2,3,Yes,Yes
RM097,24,18-25,Female,Sales,"Sales Executive",4999,3,3,2,4,No,No
RM114,24,18-25,Male,"Research & Development","Laboratory Technician",2774,5,3,3,3,No,No
RM381,24,18-25,Female,Sales,"Sales Executive",4260,5,3,4,3,Yes,No
RM415,24,18-25,Female,Sales,"Sales Representative",3202,5,2,3,3,Yes,Yes
RM471,24,18-25,Male,Sales,"Sales Representative",2400,2,4,3,3,No,No
RM475,24,18-25,Male,"Research & Development","Research Scientist",2725,6,4,3,3,Yes,No
RM477,24,18-25,Male,"Research & Development","Laboratory Technician",2127,1,2,3,4,No,No
RM480,24,18-25,Female,"Research & Development","Laboratory Technician",2886,6,3,3,3,Yes,Yes
RM526,24,18-25,Female,Sales,"Sales Executive",4577,2,3,3,3,No,Yes
RM587,24,18-25,Male,"Research & Development","Laboratory Technician",2694,1,2,3,3,No,No
RM641,24,18-25,Male,"Research & Development","Laboratory Technician",3162,5,4,2,3,No,No
RM725,24,18-25,Female,"Research & Development","Manufacturing Director",4377,4,3,3,3,No,No
RM842,24,18-25,Male,"Research & Development","Laboratory Technician",3597,4,2,3,4,No,No
RM872,24,18-25,Female,"Research & Development","Laboratory Technician",2210,1,2,1,3,No,Yes
RM1026,24,18-25,Female,Sales,"Sales Executive",4162,5,3,3,3,Yes,No
RM1061,24,18-25,Male,"Research & Development","Laboratory Technician",3172,0,1,2,3,Yes,Yes
RM1062,24,18-25,Female,Sales,"Sales Representative",2033,1,2,3,3,No,No
RM1098,24,18-25,Male,"Research & Development","Laboratory Technician",2296,1,1,3,3,No,No
RM1169,24,18-25,Female,"Research & Development","Research Scientist",3760,6,4,3,3,Yes,No
RM1218,24,18-25,Male,"Research & Development","Research Scientist",4401,5,3,3,3,No,No
RM1223,24,18-25,Male,"Human Resources","Human Resources",1555,1,3,3,3,No,Yes
RM1231,24,18-25,Male,"Research & Development","Laboratory Technician",3907,6,1,4,3,No,No
RM1246,24,18-25,Male,"Human Resources","Human Resources",2145,2,4,3,3,No,No
RM1408,24,18-25,Male,"Research & Development","Healthcare Representative",4617,4,3,2,3,No,No
RM108,25,18-25,Male,Sales,"Sales Executive",5744,6,3,3,3,Yes,Yes
RM109,25,18-25,Male,"Research & Development","Research Scientist",2889,2,4,3,3,No,No
RM268,25,18-25,Male,"Research & Development","Healthcare Representative",4000,6,1,3,3,No,No
RM398,25,18-25,Female,Sales,"Sales Executive",4487,5,4,3,3,Yes,No
RM479,25,18-25,Male,Sales,"Sales Representative",2096,7,3,3,3,No,No
RM518,25,18-25,Male,Sales,"Sales Executive",4851,3,2,3,4,No,No
RM564,25,18-25,Female,Sales,"Sales Executive",6180,6,4,2,4,No,No
RM619,25,18-25,Male,"Research & Development","Research Scientist",3424,4,1,2,3,No,No
RM635,25,18-25,Male,Sales,"Sales Executive",4194,5,1,3,3,Yes,No
RM639,25,18-25,Male,Sales,"Sales Executive",4256,5,1,4,3,No,No
RM684,25,18-25,Male,Sales,"Sales Representative",2413,1,2,3,3,Yes,Yes
RM797,25,18-25,Male,"Research & Development","Laboratory Technician",3691,7,4,4,3,Yes,Yes
RM886,25,18-25,Male,Sales,"Sales Executive",4950,4,4,3,3,No,No
RM912,25,18-25,Male,Sales,"Sales Representative",1118,1,4,3,3,Yes,Yes
RM935,25,18-25,Female,"Research & Development","Research Scientist",2096,2,2,2,3,No,No
RM966,25,18-25,Male,"Research & Development","Laboratory Technician",3669,3,4,2,3,No,No
RM994,25,18-25,Male,Sales,"Sales Executive",6232,3,3,2,3,No,No
RM1004,25,18-25,Male,"Research & Development","Laboratory Technician",3229,3,4,2,3,No,No
RM1022,25,18-25,Male,Sales,"Sales Representative",4400,3,1,3,3,No,Yes
RM1175,25,18-25,Male,"Research & Development","Manufacturing Director",5206,7,3,3,3,No,No
RM1412,25,18-25,Female,"Human Resources","Human Resources",2187,2,2,3,3,No,No
RM1414,25,18-25,Male,"Research & Development","Laboratory Technician",3977,2,3,2,3,Yes,No
RM1434,25,18-25,Female,Sales,"Sales Executive",4907,5,3,2,4,Yes,No
RM043,26,26-35,Male,"Research & Development","Laboratory Technician",2293,1,3,2,3,No,Yes
RM055,26,26-35,Female,Sales,"Sales Executive",4157,2,4,2,3,Yes,No
RM126,26,26-35,Female,"Research & Development","Research Scientist",2368,5,2,2,3,No,No
RM135,26,26-35,Female,"Human Resources","Human Resources",2942,8,3,3,4,No,No
RM279,26,26-35,Female,"Research & Development","Manufacturing Director",6397,6,2,1,4,No,No
RM285,26,26-35,Male,"Research & Development","Healthcare Representative",4741,5,1,3,3,Yes,No
RM289,26,26-35,Male,"Research & Development","Laboratory Technician",2373,3,2,3,3,Yes,Yes
RM294,26,26-35,Male,Sales,"Sales Executive",5828,8,4,3,3,Yes,Yes
RM356,26,26-35,Male,Sales,"Sales Executive",5296,8,3,3,3,No,No
RM383,26,26-35,Male,"Research & Development","Research Scientist",3102,6,1,3,4,No,Yes
RM419,26,26-35,Female,"Research & Development","Research Scientist",2886,3,4,1,4,No,No
RM454,26,26-35,Female,"Human Resources","Human Resources",2741,7,3,2,3,Yes,Yes
RM461,26,26-35,Male,Sales,"Sales Executive",4306,0,3,3,3,No,No
RM464,26,26-35,Male,"Research & Development","Laboratory Technician",2340,1,4,1,3,Yes,Yes
RM476,26,26-35,Male,Sales,"Sales Executive",6272,5,2,4,4,No,No
RM506,26,26-35,Female,"Research & Development","Laboratory Technician",2659,3,4,3,3,Yes,No
RM572,26,26-35,Female,"Research & Development","Laboratory Technician",4364,2,4,3,3,No,No
RM574,26,26-35,Male,Sales,"Sales Executive",5326,4,1,2,3,No,Yes
RM615,26,26-35,Female,"Research & Development","Research Scientist",2366,8,3,3,3,Yes,Yes
RM686,26,26-35,Male,Sales,"Sales Executive",4294,7,1,3,3,No,No
RM734,26,26-35,Male,"Research & Development","Manufacturing Director",5472,8,4,3,3,No,No
RM749,26,26-35,Male,Sales,"Sales Executive",4969,2,1,3,3,No,Yes
RM763,26,26-35,Male,"Research & Development","Research Scientist",2042,3,1,3,3,Yes,Yes
RM770,26,26-35,Female,"Research & Development","Research Scientist",2007,5,3,3,3,No,No
RM782,26,26-35,Male,"Research & Development","Laboratory Technician",3955,5,1,3,3,No,No
RM798,26,26-35,Male,"Research & Development","Laboratory Technician",2377,1,3,2,4,No,Yes
RM844,26,26-35,Male,"Research & Development","Laboratory Technician",4420,8,4,3,4,No,No
RM913,26,26-35,Male,"Research & Development","Research Scientist",2875,8,4,2,4,Yes,No
RM999,26,26-35,Male,"Research & Development","Research Scientist",3904,4,4,3,3,No,No
RM1005,26,26-35,Male,"Research & Development","Laboratory Technician",3578,7,1,3,3,No,No
RM1119,26,26-35,Female,"Research & Development","Research Scientist",2061,1,4,3,4,No,No
RM1207,26,26-35,Male,"Research & Development","Laboratory Technician",2570,7,4,3,4,No,No
RM1225,26,26-35,Male,"Research & Development","Laboratory Technician",2305,3,3,4,3,No,No
RM1298,26,26-35,Female,"Human Resources","Human Resources",2148,5,2,3,3,Yes,Yes
RM1310,26,26-35,Male,Sales,"Sales Executive",4684,5,4,3,3,No,No
RM1350,26,26-35,Female,"Research & Development","Research Scientist",2933,1,3,2,3,Yes,No
RM1362,26,26-35,Male,"Research & Development","Laboratory Technician",2544,7,4,3,3,No,No
RM1387,26,26-35,Male,"Research & Development","Laboratory Technician",2867,7,1,2,3,No,No
RM1465,26,26-35,Female,Sales,"Sales Representative",2966,4,3,3,3,No,No
RM1465,26,26-35,Female,Sales,"Sales Representative",2966,4,3,3,3,No,No
RM005,27,26-35,Male,"Research & Development","Laboratory Technician",3468,2,2,3,3,No,No
RM042,27,26-35,Female,"Research & Development","Laboratory Technician",2341,1,1,3,3,No,No
RM044,27,26-35,Male,Sales,"Sales Executive",8726,9,3,3,3,No,No
RM162,27,26-35,Male,"Research & Development","Research Scientist",2024,2,2,1,3,No,No
RM165,27,26-35,Male,"Research & Development","Research Scientist",2566,1,3,2,3,Yes,No
RM171,27,26-35,Male,"Research & Development","Research Scientist",3058,5,2,2,3,Yes,No
RM192,27,26-35,Female,"Research & Development","Research Scientist",2279,7,2,2,3,No,No
RM201,27,26-35,Male,"Research & Development","Manufacturing Director",4298,2,1,3,3,No,No
RM213,27,26-35,Female,Sales,"Sales Executive",9981,7,3,3,3,No,No
RM319,27,26-35,Female,"Research & Development","Research Scientist",2478,4,2,2,3,Yes,No
RM321,27,26-35,Male,Sales,"Sales Executive",4478,5,3,3,3,Yes,No
RM332,27,26-35,Male,Sales,"Sales Executive",6349,5,2,3,3,Yes,No
RM340,27,26-35,Female,Sales,"Sales Executive",6214,8,2,3,3,No,No
RM374,27,26-35,Male,"Research & Development","Laboratory Technician",3816,5,2,3,3,No,No
RM486,27,26-35,Female,"Research & Development","Research Scientist",2187,5,3,2,3,No,No
RM496,27,26-35,Male,Sales,"Sales Representative",3041,4,1,3,3,No,Yes
RM513,27,26-35,Male,"Research & Development","Research Scientist",2045,4,4,3,3,No,No
RM522,27,26-35,Female,Sales,"Sales Executive",4647,6,4,3,4,Yes,No
RM531,27,26-35,Female,"Research & Development","Manufacturing Director",7412,9,1,3,3,No,No
RM538,27,26-35,Male,"Research & Development","Manufacturing Director",8793,9,1,2,4,No,No
RM555,27,26-35,Female,"Research & Development","Healthcare Representative",6811,7,1,1,3,No,No
RM577,27,26-35,Male,Sales,"Sales Executive",4342,4,4,3,3,No,No
RM611,27,26-35,Male,"Research & Development","Research Director",12808,9,4,3,3,Yes,No
RM616,27,26-35,Male,"Research & Development","Research Scientist",1706,0,4,2,3,No,No
RM671,27,26-35,Female,"Research & Development","Research Scientist",2318,1,3,3,3,No,No
RM718,27,26-35,Female,"Research & Development","Laboratory Technician",2811,2,2,3,3,No,No
RM740,27,26-35,Female,"Research & Development","Manufacturing Director",4227,3,4,3,3,No,No
RM787,27,26-35,Male,"Research & Development","Laboratory Technician",4621,3,3,3,3,No,No
RM834,27,26-35,Male,"Research & Development","Research Scientist",2539,4,3,3,3,No,No
RM890,27,26-35,Male,"Research & Development","Research Scientist",2235,9,1,2,3,Yes,No
RM903,27,26-35,Male,"Research & Development","Research Scientist",2517,5,3,3,3,No,No
RM971,27,26-35,Female,Sales,"Sales Representative",2534,1,4,3,3,No,No
RM975,27,26-35,Male,Sales,"Sales Executive",5071,6,4,3,4,No,No
RM997,27,26-35,Female,Sales,"Sales Executive",5769,6,4,3,3,Yes,No
RM998,27,26-35,Female,"Research & Development","Research Scientist",2394,8,3,3,3,Yes,Yes
RM1018,27,26-35,Male,"Research & Development","Laboratory Technician",2099,5,1,4,3,No,No
RM1150,27,26-35,Male,"Research & Development","Laboratory Technician",4066,7,1,3,3,No,No
RM1170,27,26-35,Female,"Research & Development","Research Scientist",3517,3,3,3,3,No,No
RM1171,27,26-35,Male,"Research & Development","Research Scientist",2580,4,4,2,3,No,No
RM1249,27,26-35,Female,"Research & Development","Research Scientist",3445,6,4,2,3,No,No
RM1318,27,26-35,Female,"Research & Development","Laboratory Technician",2379,5,4,2,3,Yes,No
RM1329,27,26-35,Female,Sales,"Sales Representative",3540,9,3,3,4,No,No
RM1335,27,26-35,Female,"Research & Development","Research Scientist",4774,7,1,2,3,No,No
RM1351,27,26-35,Female,Sales,"Sales Executive",6500,8,3,2,3,No,No
RM1368,27,26-35,Male,"Research & Development","Research Scientist",2226,5,2,2,3,No,No
RM1380,27,26-35,Female,"Human Resources","Human Resources",2863,1,2,3,3,No,Yes
RM1394,27,26-35,Male,Sales,"Sales Executive",4105,7,4,3,3,No,No
RM1468,27,26-35,Male,"Research & Development","Manufacturing Director",6142,6,2,3,4,Yes,No
RM1468,27,26-35,Male,"Research & Development","Manufacturing Director",6142,6,2,3,4,Yes,No
RM015,28,26-35,Male,"Research & Development","Laboratory Technician",2028,4,3,3,3,Yes,Yes
RM052,28,26-35,Male,"Research & Development","Laboratory Technician",3441,2,3,2,3,Yes,Yes
RM098,28,26-35,Male,Sales,"Sales Executive",4221,5,3,4,3,No,No
RM163,28,26-35,Male,"Research & Development","Research Scientist",2713,5,4,1,3,No,No
RM265,28,26-35,Male,"Research & Development","Laboratory Technician",3485,0,3,1,3,No,Yes
RM273,28,26-35,Male,"Research & Development","Research Scientist",2070,5,4,2,4,No,No
RM290,28,26-35,Female,"Research & Development","Research Scientist",3310,5,4,3,4,No,No
RM303,28,26-35,Male,"Research & Development","Healthcare Representative",5661,8,1,3,3,No,No
RM324,28,26-35,Male,"Research & Development","Research Scientist",3464,3,4,2,3,Yes,Yes
RM375,28,26-35,Male,Sales,"Sales Executive",5253,7,4,3,3,No,No
RM541,28,26-35,Female,"Research & Development","Research Scientist",2216,7,2,3,3,Yes,Yes
RM599,28,26-35,Male,"Research & Development","Research Scientist",4382,2,3,2,3,No,Yes
RM613,28,26-35,Female,Sales,"Sales Executive",4779,8,2,3,4,Yes,No
RM630,28,26-35,Male,"Human Resources","Human Resources",4936,5,4,3,3,No,No
RM660,28,26-35,Male,Sales,"Sales Executive",4908,4,4,3,3,No,No
RM669,28,26-35,Female,"Research & Development","Research Scientist",2377,2,3,3,3,No,No
RM765,28,26-35,Male,Sales,"Sales Representative",1052,1,2,3,4,No,No
RM781,28,26-35,Male,"Research & Development","Healthcare Representative",8722,10,1,2,3,No,Yes
RM789,28,26-35,Female,"Research & Development","Research Scientist",3660,8,3,4,3,No,No
RM794,28,26-35,Male,"Research & Development","Laboratory Technician",2207,4,3,2,3,No,No
RM801,28,26-35,Male,"Research & Development","Laboratory Technician",2596,1,2,3,3,No,Yes
RM810,28,26-35,Female,"Research & Development","Manufacturing Director",7655,9,2,2,3,No,No
RM820,28,26-35,Male,"Research & Development","Research Scientist",3201,5,2,1,3,No,No
RM828,28,26-35,Male,"Research & Development","Research Scientist",2703,3,3,3,3,Yes,No
RM843,28,26-35,Female,"Research & Development","Laboratory Technician",2515,1,4,2,3,Yes,Yes
RM869,28,26-35,Male,"Research & Development","Laboratory Technician",3196,6,1,3,3,No,No
RM922,28,26-35,Male,"Research & Development","Laboratory Technician",2154,4,3,2,3,Yes,No
RM930,28,26-35,Male,"Research & Development","Laboratory Technician",3867,2,4,3,3,Yes,No
RM934,28,26-35,Male,"Research & Development","Research Scientist",2080,3,1,2,3,No,No
RM945,28,26-35,Female,"Research & Development","Laboratory Technician",6674,9,4,3,3,No,No
RM985,28,26-35,Male,Sales,"Sales Executive",4724,5,1,3,3,No,No
RM1042,28,26-35,Male,Sales,"Sales Executive",8463,5,1,3,3,No,No
RM1057,28,26-35,Male,Sales,"Sales Representative",2909,3,3,4,3,No,Yes
RM1069,28,26-35,Male,"Research & Development","Laboratory Technician",2561,0,1,2,3,No,Yes
RM1070,28,26-35,Male,"Research & Development","Research Scientist",1563,1,3,1,3,No,No
RM1071,28,26-35,Male,Sales,"Sales Executive",4898,4,1,3,3,No,No
RM1074,28,26-35,Male,"Research & Development","Manufacturing Director",6549,8,2,2,3,No,No
RM1137,28,26-35,Male,"Research & Development","Laboratory Technician",2408,1,2,3,3,Yes,Yes
RM1152,28,26-35,Female,"Research & Development","Manufacturing Director",4877,5,1,2,4,No,No
RM1284,28,26-35,Male,"Research & Development","Research Scientist",2044,5,4,4,3,No,No
RM1308,28,26-35,Female,"Research & Development","Research Scientist",3591,3,1,3,4,No,No
